iter	Passed	Remaining
0	7	3840
1	14	3676
2	22	3656
3	29	3607
4	36	3627
5	43	3606
6	51	3621
7	58	3619
8	66	3615
9	73	3598
10	81	3620
11	89	3623
12	96	3627
13	105	3674
14	113	3675
15	122	3700
16	131	3729
17	140	3760
18	160	4057
19	169	4075
20	177	4059
21	187	4068
22	195	4045
23	203	4045
24	212	4042
25	221	4036
26	229	4015
27	237	3998
28	246	3997
29	253	3972
30	260	3942
31	268	3929
32	276	3915
33	285	3913
34	292	3892
35	301	3883
36	308	3856
37	315	3835
38	321	3802
39	327	3771
40	333	3735
41	339	3702
42	345	3673
43	351	3640
44	356	3603
45	361	3571
46	367	3545
47	373	3513
48	378	3483
49	384	3458
50	390	3434
51	395	3410
52	402	3393
53	410	3387
54	418	3386
55	425	3377
56	433	3367
57	440	3353
58	447	3343
59	453	3325
60	460	3313
61	466	3295
62	473	3281
63	479	3266
64	484	3245
65	490	3225
66	495	3201
67	500	3182
68	506	3164
69	512	3145
70	518	3131
71	523	3111
72	529	3098
73	535	3080
74	541	3066
75	546	3051
76	553	3040
77	559	3027
78	565	3012
79	571	3000
80	578	2990
81	584	2980
82	590	2967
83	597	2959
84	604	2949
85	611	2941
86	617	2930
87	623	2919
88	629	2904
89	634	2888
90	639	2875
91	645	2863
92	651	2850
93	657	2838
94	663	2827
95	669	2816
96	675	2804
97	680	2792
98	687	2782
99	693	2774
100	700	2765
101	706	2755
102	711	2743
103	717	2731
104	724	2725
105	731	2718
106	739	2714
107	746	2708
108	753	2701
109	760	2695
110	767	2691
111	775	2686
112	783	2682
113	791	2678
114	798	2674
115	806	2671
116	827	2707
117	834	2701
118	842	2696
119	849	2690
120	856	2682
121	862	2672
122	868	2660
123	874	2651
124	881	2643
125	886	2632
126	893	2623
127	900	2616
128	907	2609
129	913	2599
130	918	2587
131	924	2577
132	931	2571
133	937	2560
134	943	2549
135	950	2544
136	956	2535
137	962	2525
138	968	2515
139	973	2504
140	979	2494
141	985	2483
142	990	2473
143	996	2463
144	1002	2455
145	1010	2450
146	1017	2442
147	1023	2433
148	1028	2423
149	1034	2413
150	1039	2403
151	1044	2392
152	1051	2384
153	1056	2374
154	1062	2364
155	1067	2354
156	1073	2345
157	1079	2336
158	1085	2327
159	1091	2318
160	1097	2311
161	1104	2304
162	1118	2311
163	1123	2301
164	1129	2292
165	1136	2287
166	1144	2281
167	1150	2273
168	1156	2264
169	1161	2255
170	1167	2246
171	1173	2238
172	1180	2231
173	1188	2227
174	1197	2224
175	1204	2218
176	1211	2211
177	1216	2201
178	1221	2190
179	1226	2180
180	1231	2171
181	1237	2161
182	1242	2152
183	1248	2143
184	1254	2135
185	1259	2126
186	1265	2117
187	1270	2109
188	1276	2100
189	1282	2091
190	1287	2083
191	1292	2073
192	1297	2063
193	1304	2056
194	1309	2048
195	1315	2040
196	1321	2032
197	1327	2024
198	1333	2016
199	1338	2007
200	1343	1999
201	1349	1990
202	1355	1982
203	1361	1975
204	1368	1968
205	1374	1961
206	1382	1956
207	1390	1951
208	1398	1946
209	1406	1941
210	1414	1937
211	1420	1930
212	1427	1923
213	1433	1915
214	1439	1907
215	1444	1899
216	1450	1891
217	1456	1884
218	1461	1875
219	1467	1867
220	1472	1859
221	1478	1851
222	1487	1848
223	1493	1840
224	1499	1832
225	1505	1824
226	1511	1818
227	1517	1810
228	1523	1802
229	1528	1794
230	1533	1786
231	1539	1778
232	1544	1769
233	1548	1760
234	1554	1752
235	1559	1744
236	1565	1736
237	1570	1729
238	1576	1721
239	1582	1714
240	1588	1706
241	1594	1699
242	1600	1692
243	1606	1685
244	1613	1679
245	1621	1673
246	1627	1666
247	1633	1659
248	1639	1652
249	1644	1644
250	1650	1637
251	1656	1630
252	1661	1622
253	1667	1614
254	1672	1606
255	1677	1599
256	1683	1591
257	1688	1583
258	1693	1575
259	1698	1567
260	1703	1560
261	1709	1552
262	1715	1545
263	1719	1537
264	1723	1528
265	1728	1520
266	1733	1512
267	1738	1505
268	1743	1497
269	1749	1490
270	1756	1484
271	1763	1477
272	1770	1472
273	1778	1466
274	1785	1460
275	1792	1454
276	1797	1447
277	1803	1440
278	1810	1433
279	1815	1426
280	1821	1419
281	1827	1412
282	1834	1406
283	1840	1399
284	1846	1393
285	1853	1386
286	1859	1380
287	1865	1373
288	1871	1366
289	1876	1359
290	1882	1352
291	1888	1345
292	1895	1339
293	1900	1331
294	1905	1324
295	1910	1316
296	1915	1309
297	1920	1301
298	1926	1295
299	1931	1287
300	1936	1280
301	1955	1281
302	1962	1275
303	1968	1268
304	1973	1261
305	1978	1254
306	1984	1247
307	1989	1239
308	1993	1232
309	1999	1225
310	2005	1218
311	2010	1211
312	2015	1203
313	2019	1196
314	2024	1188
315	2028	1181
316	2033	1173
317	2038	1166
318	2043	1159
319	2047	1151
320	2052	1144
321	2057	1137
322	2063	1130
323	2068	1123
324	2073	1116
325	2078	1109
326	2083	1102
327	2087	1094
328	2092	1087
329	2098	1080
330	2103	1073
331	2108	1066
332	2114	1060
333	2119	1053
334	2124	1046
335	2129	1039
336	2134	1032
337	2139	1025
338	2145	1019
339	2152	1013
340	2160	1007
341	2167	1001
342	2173	994
343	2179	988
344	2185	981
345	2190	974
346	2195	967
347	2200	961
348	2205	954
349	2211	947
350	2216	940
351	2222	934
352	2228	927
353	2233	921
354	2238	914
355	2244	907
356	2249	900
357	2254	894
358	2261	888
359	2268	882
360	2275	876
361	2283	870
362	2290	864
363	2298	858
364	2305	852
365	2311	846
366	2317	839
367	2323	833
368	2329	826
369	2334	820
370	2340	813
371	2344	806
372	2349	799
373	2354	793
374	2360	786
375	2365	780
376	2370	773
377	2376	767
378	2382	760
379	2388	754
380	2395	748
381	2403	742
382	2411	736
383	2416	730
384	2423	723
385	2428	717
386	2434	710
387	2439	704
388	2444	697
389	2450	691
390	2454	684
391	2459	677
392	2465	671
393	2471	664
394	2476	658
395	2481	651
396	2486	645
397	2492	638
398	2498	632
399	2503	625
400	2508	619
401	2513	612
402	2517	605
403	2522	599
404	2527	592
405	2532	586
406	2537	579
407	2541	573
408	2552	567
409	2556	561
410	2561	554
411	2567	548
412	2574	542
413	2581	536
414	2588	530
415	2594	523
416	2601	517
417	2609	511
418	2615	505
419	2622	499
420	2627	493
421	2632	486
422	2637	480
423	2642	473
424	2646	467
425	2652	460
426	2657	454
427	2663	448
428	2668	441
429	2673	435
430	2678	428
431	2684	422
432	2690	416
433	2695	409
434	2700	403
435	2706	397
436	2711	390
437	2718	384
438	2724	378
439	2731	372
440	2738	366
441	2747	360
442	2756	354
443	2765	348
444	2772	342
445	2778	336
446	2785	330
447	2791	323
448	2797	317
449	2802	311
450	2808	305
451	2814	298
452	2821	292
453	2828	286
454	2833	280
455	2839	273
456	2845	267
457	2851	261
458	2858	255
459	2865	249
460	2870	242
461	2876	236
462	2881	230
463	2886	223
464	2892	217
465	2898	211
466	2903	205
467	2909	198
468	2916	192
469	2923	186
470	2930	180
471	2939	174
472	2947	168
473	2954	162
474	2960	155
475	2965	149
476	2970	143
477	2975	136
478	2980	130
479	2986	124
480	2992	118
481	2996	111
482	3000	105
483	3005	99
484	3010	93
485	3015	86
486	3020	80
487	3024	74
488	3029	68
489	3035	61
490	3040	55
491	3045	49
492	3050	43
493	3055	37
494	3061	30
495	3066	24
496	3071	18
497	3077	12
498	3082	6
499	3086	0
